image1_src,image1_alt,link1_text,link1_link,text1,text2
https://im9.cz/sk/iR/importprodukt-orig/dd5/dd5a4134ac0665836a076aa22f08ea75--mmf150x150.jpg;https://serve.productads.sk/0/2683.impression?tt=9543be0e227809dfb527c58647a77f87ec0a07882d650e41f4118f482dfea9e70958fdef54df1a66c937f2fd202b350bcc247d60af78f79267b34e56289dd4182bbc6352a99a0e57908ff60101f115e8da71b139dab91d6428cfab7c098c99f382c2c7263807093f9877a4be8946b68eaab43413a7f79b44552cdaccdbd95fed4251f9c57fae29a4c30b861b176df91c4c137ecc78e64441f70f40d1e96784d0c8b223ccfc878ec2f65be9a4ee689f183a4c0b7c59836bf6f728e86b27c9e26f24314736fbc354bdec9879b89d76bbb77b34c9d45982929ef012a2e77d6d3f322be525da7bcd545e67d6e136261d2bbada51ed9b1cacf553c6da731070d8953b89c14451e85cbefb47d70ae90c348f200a862ae57682f2697ee70227922a9fec70f63a854891ab8b0bc069dbca331afdef1b3c47d59e57b7cb9b985126f4d82256456d67b3bd4b8acd56e1f4196614b7c40e2347ebcf48a5cecccf0f80b99238861d50582d25681519d20f7aba764f0b69427821db6375c228a43e774ccf9029fed8bc4a9da591814a7e5f6244d631ff69ca2250c0e63a9109edf6d268016d4485ac335f849c4a17aa430339f47d50a50b95edd0dda27825b11eb9fb9482779bed71bf9f1e2e9423703851a3b02eb0c2993b332b4f8f3c5b64af22355fca4a134bf25cb943cada75053d4d008ce05717b145647f5145e90497b0d44c79b1d4b968705f01f282837ed4de826c9562f306&positionId=category_advert_pos2&positionIndex=0&removedProducts=&guid=529E8CFC-617D-4AC5-AD08-F031AC581DC1,https://im9.cz/sk/iR/importprodukt-orig/dd5/dd5a4134ac0665836a076aa22f08ea75--mmf150x150.jpg;https://serve.productads.sk/0/2683.impression?tt=9543be0e227809dfb527c58647a77f87ec0a07882d650e41f4118f482dfea9e70958fdef54df1a66c937f2fd202b350bcc247d60af78f79267b34e56289dd4182bbc6352a99a0e57908ff60101f115e8da71b139dab91d6428cfab7c098c99f382c2c7263807093f9877a4be8946b68eaab43413a7f79b44552cdaccdbd95fed4251f9c57fae29a4c30b861b176df91c4c137ecc78e64441f70f40d1e96784d0c8b223ccfc878ec2f65be9a4ee689f183a4c0b7c59836bf6f728e86b27c9e26f24314736fbc354bdec9879b89d76bbb77b34c9d45982929ef012a2e77d6d3f322be525da7bcd545e67d6e136261d2bbada51ed9b1cacf553c6da731070d8953b89c14451e85cbefb47d70ae90c348f200a862ae57682f2697ee70227922a9fec70f63a854891ab8b0bc069dbca331afdef1b3c47d59e57b7cb9b985126f4d82256456d67b3bd4b8acd56e1f4196614b7c40e2347ebcf48a5cecccf0f80b99238861d50582d25681519d20f7aba764f0b69427821db6375c228a43e774ccf9029fed8bc4a9da591814a7e5f6244d631ff69ca2250c0e63a9109edf6d268016d4485ac335f849c4a17aa430339f47d50a50b95edd0dda27825b11eb9fb9482779bed71bf9f1e2e9423703851a3b02eb0c2993b332b4f8f3c5b64af22355fca4a134bf25cb943cada75053d4d008ce05717b145647f5145e90497b0d44c79b1d4b968705f01f282837ed4de826c9562f306&positionId=category_advert_pos2&positionIndex=0&removedProducts=&guid=529E8CFC-617D-4AC5-AD08-F031AC581DC1,"
                    KVADROKOPTÉR Defiant DF-GR02 dosah pri ovládaní: až 150m
                ",https://3b03526a0dbc2e6018e63348d8d47352.heureka.sk/0/2683.click?tt=9543be0e227809dfb527c58647a77f87ec0a07882d650e41f4118f482dfea9e70958fdef54df1a66c937f2fd202b350bcc247d60af78f79267b34e56289dd4182bbc6352a99a0e57908ff60101f115e8da71b139dab91d6428cfab7c098c99f382c2c7263807093f9877a4be8946b68eaab43413a7f79b44552cdaccdbd95fed4251f9c57fae29a4c30b861b176df91c4c137ecc78e64441f70f40d1e96784d0c8b223ccfc878ec2f65be9a4ee689f183a4c0b7c59836bf6f728e86b27c9e26f24314736fbc354bdec9879b89d76bbb77b34c9d45982929ef012a2e77d6d3f322be525da7bcd545e67d6e136261d2bbada51ed9b1cacf553c6da731070d8953b89c14451e85cbefb47d70ae90c348f200a862ae57682f2697ee70227922a9fec70f63a854891ab8b0bc069dbca331afdef1b3c47d59e57b7cb9b985126f4d82256456d67b3bd4b8acd56e1f4196614b7c40e2347ebcf48a5cecccf0f80b99238861d50582d25681519d20f7aba764f0b69427821db6375c228a43e774ccf9029fed8bc4a9da591814a7e5f6244d631ff69ca2250c0e63a9109edf6d268016d4485ac335f849c4a17aa430339f47d50a50b95edd0dda27825b11eb9fb9482779bed71bf9f1e2e9423703851a3b02eb0c2993b332b4f8f3c5b64af22355fca4a134bf25cb943cada75053d4d008ce05717b145647f5145e90497b0d44c79b1d4b968705f01f282837ed4de826c9562f306&positionId=category_advert_pos2&positionIndex=0&removedProducts=&guid=529E8CFC-617D-4AC5-AD08-F031AC581DC1,"60,00 €",
https://im9.cz/sk/iR/importprodukt-orig/a39/a398c5df47bc797cb09bf690f8096ac9--mmf150x150.jpg,https://im9.cz/sk/iR/importprodukt-orig/a39/a398c5df47bc797cb09bf690f8096ac9--mmf150x150.jpg,SYMA X8HW Wifi-HD FPV - RC 45315,https://drony.heureka.sk/syma-x8hw-wifi-hd-fpv-rc-45315/,"143,00 €",Možné zakúpiť priamo na Heureka.sk
https://im9.cz/sk/iR/importprodukt-orig/ce7/ce77e987eb47ee4b0df498108ad69e40--mmf150x150.jpg,https://im9.cz/sk/iR/importprodukt-orig/ce7/ce77e987eb47ee4b0df498108ad69e40--mmf150x150.jpg,BUDDY TOYS BRQ 110 RC Dron 10,https://drony.heureka.sk/buddy-toys-brq-110-rc-dron-10/,"33,90 - 47,51 €",Možné zakúpiť priamo na Heureka.sk
https://im9.cz/sk/iR/importprodukt-orig/2a6/2a6034bc283f27d86dfb2195adc3def4--mmf150x150.jpg,https://im9.cz/sk/iR/importprodukt-orig/2a6/2a6034bc283f27d86dfb2195adc3def4--mmf150x150.jpg,YUNEEC BREEZE 4K,https://drony.heureka.sk/yuneec-breeze-4k/,"334,25 - 418,42 €",Možné zakúpiť priamo na Heureka.sk
https://im9.cz/sk/iR/importprodukt-orig/173/1735422c6ef8b628ceda924ebbd425d3--mmf150x150.jpg,https://im9.cz/sk/iR/importprodukt-orig/173/1735422c6ef8b628ceda924ebbd425d3--mmf150x150.jpg,BUDDY TOYS BRQ 130 RC Dron 30,https://drony.heureka.sk/buddy-toys-brq-130-rc-dron-30/,"52,72 - 68,40 €",Možné zakúpiť priamo na Heureka.sk
https://im9.cz/sk/iR/importprodukt-orig/756/75678599d85e00cdbac8fa933df22fc9--mmf150x150.jpg,https://im9.cz/sk/iR/importprodukt-orig/756/75678599d85e00cdbac8fa933df22fc9--mmf150x150.jpg,DJI Phantom 4 Pro (Ovládač s obrazovkou) - DJIP4PRO2,https://drony.heureka.sk/dji-phantom-4-pro-ovladac-s-obrazovkou-djip4pro2/,"1 990,00 - 1 999,00 €",
https://im9.cz/sk/iR/importprodukt-orig/d3d/d3def8a470dda29054dcc02885bb51ca--mmf150x150.jpg,https://im9.cz/sk/iR/importprodukt-orig/d3d/d3def8a470dda29054dcc02885bb51ca--mmf150x150.jpg,DJI Phantom 3 Professional - DJI0322,https://drony.heureka.sk/dji-phantom-3-professional-dji0322/,"840,00 - 1 499,00 €",Možné zakúpiť priamo na Heureka.sk
https://im9.cz/sk/iR/importprodukt-orig/7eb/7ebc7ffe3ea3b1684062a4733ec996cc--mmf150x150.jpg,https://im9.cz/sk/iR/importprodukt-orig/7eb/7ebc7ffe3ea3b1684062a4733ec996cc--mmf150x150.jpg,GoPro Karma - QKWXX-500-EU,https://drony.heureka.sk/gopro-karma-qkwxx-500-eu/,"999,00 - 999,99 €",
https://im9.cz/sk/iR/importprodukt-orig/77a/77a313640170b76e06c5410d801e465f--mmf150x150.jpg,https://im9.cz/sk/iR/importprodukt-orig/77a/77a313640170b76e06c5410d801e465f--mmf150x150.jpg,Syma X5Cs PRO - 40 minut letu - HD kamera SYMA - RC_44596,https://drony.heureka.sk/syma-x5cs-pro-40-minut-letu-hd-kamera-syma-rc-44596/,"113,22 €",
https://im9.cz/sk/iR/importprodukt-orig/cd8/cd86dc679aeab5cdf642befd5ac1c2eb--mmf150x150.jpg,https://im9.cz/sk/iR/importprodukt-orig/cd8/cd86dc679aeab5cdf642befd5ac1c2eb--mmf150x150.jpg,Syma X11 - odolný rc dron 2.4 GHz - RC_16691,https://drony.heureka.sk/syma-x11-odolny-rc-dron-2_4-ghz-rc-16691/,"35,90 €",Možné zakúpiť priamo na Heureka.sk
https://im9.cz/sk/iR/importprodukt-orig/fbe/fbee95c62bcbebda241d56a6eefe36dc--mmf150x150.jpg,https://im9.cz/sk/iR/importprodukt-orig/fbe/fbee95c62bcbebda241d56a6eefe36dc--mmf150x150.jpg,Parrot Airborne Cargo Travis žltý - PF723304AA,https://drony.heureka.sk/parrot-airborne-cargo-travis-zlty-pf723304aa/,"67,32 - 85,92 €",
https://im9.cz/sk/iR/importprodukt-orig/18a/18a92382dbb33661f0f4b1ad59d0cf64--mmf150x150.jpg,https://im9.cz/sk/iR/importprodukt-orig/18a/18a92382dbb33661f0f4b1ad59d0cf64--mmf150x150.jpg,AEE TORUK AP9,https://drony.heureka.sk/aee-toruk-ap9/,"356,32 - 428,99 €",
